Athlete,Gender,Date,Test,Name Label,Power,Score,Split,Time or Split
Grace Sypher,Female,23/04/2017,2000,Female_2000,214.9,#N/A,01:57.6,07:50.6
Patrick Holt,Male,23/04/2017,2000,Male_2000,446.2,25,01:32.2,06:08.9
Patrick Holt,Male,28/02/2018,2000,Male_2000,471.4,44,01:30.5,06:02.2
Patrick Holt,Male,18/09/2018,5000,Male_5000,362.5,25,01:38.8,16:28.4
Tara Rigney,Female,20/09/2018,5000,Female_5000,212.6,6,01:58.1,19:40.7
Tara Rigney,Female,4/12/2018,5000,Female_5000,235.3,18,01:54.2,19:01.5
Tara Rigney,Female,21/01/2019,2000,Female_2000,279.4,19,01:47.8,07:11.2
Tara Rigney,Female,21/01/2019,2000,Female_2000,279.4,19,01:47.8,07:11.2
Tara Rigney,Female,14/03/2019,2000,Female_2000,296.6,37,01:45.7,07:02.7
Grace Sypher,Female,20/03/2019,2000,Female_2000,249.1,5,01:52.0,07:28.0
Tara Rigney,Female,18/09/2019,5000,Female_5000,251.2,31,01:51.7,18:36.9
Patrick Holt,Male,18/09/2019,5000,Male_5000,399.1,76,01:35.7,15:57.2
Tara Rigney,Female,9/12/2019,5000,Female_5000,239.4,20,01:53.5,18:55.0
Grace Sypher,Female,20/01/2020,2000,Female_2000,252.2,6,01:51.6,07:26.2
Tara Rigney,Female,20/01/2020,2000,Female_2000,276.7,18,01:48.2,07:12.6
Patrick Holt,Male,20/01/2020,2000,Male_2000,501.1,83,01:28.7,05:54.9
Patrick Holt,Male,29/02/2020,2000,Male_2000,506.2,86,01:28.4,05:53.7
Grace Sypher,Female,9/03/2020,2000,Female_2000,253.7,7,01:51.3,07:25.3
Tara Rigney,Female,9/03/2020,2000,Female_2000,303.9,55,01:44.8,06:59.3
Tara Rigney,Female,21/05/2020,30minR20,Female_30minR20,203.4,15,01:59.8,01:59.8
Patrick Holt,Male,25/05/2020,30minR20,Male_30minR20,310.2,44,01:44.1,01:44.1
Patrick Holt,Male,19/06/2020,30minR20,Male_30minR20,328.7,65,01:42.1,01:42.1
Tara Rigney,Female,22/06/2020,30minR20,Female_30minR20,219.1,22,01:56.9,01:56.9
Tara Rigney,Female,15/07/2020,2mmol,Female_2mmol,226,78,01:55.7,01:55.7
Tara Rigney,Female,15/07/2020,4mmol,Female_4mmol,260,67,01:50.4,01:50.4
Tara Rigney,Female,20/07/2020,30minR20,Female_30minR20,221.1,23,01:56.6,01:56.6
Patrick Holt,Male,20/07/2020,30minR20,Male_30minR20,317.1,52,01:43.3,01:43.3
Tara Rigney,Female,17/08/2020,30minR20,Female_30minR20,223.7,24,01:56.1,01:56.1
Patrick Holt,Male,17/08/2020,30minR20,Male_30minR20,317,52,01:43.4,01:43.4
Grace Sypher,Female,14/09/2020,5000,Female_5000,217.5,8,01:57.2,19:31.9
Tara Rigney,Female,14/09/2020,5000,Female_5000,258.9,50,01:50.6,18:25.7
Patrick Holt,Male,14/09/2020,5000,Male_5000,379.7,50,01:37.3,16:13.2
Tara Rigney,Female,13/10/2020,2mmol,Female_2mmol,226,78,01:55.7,01:55.7
Tara Rigney,Female,13/10/2020,4mmol,Female_4mmol,265,76,01:49.7,01:49.7
Tara Rigney,Female,14/10/2020,30minR20,Female_30minR20,214.8,20,01:57.7,01:57.7
Grace Sypher,Female,9/11/2020,5000,Female_5000,226.2,13,01:55.7,19:16.7
Tara Rigney,Female,9/11/2020,5000,Female_5000,263,60,01:50.0,18:20.0
Patrick Holt,Male,9/11/2020,5000,Male_5000,394.7,70,01:36.1,16:00.7
Bradley Graham,Male,8/12/2020,5000,Male_5000,311.7,14,01:43.9,17:19.4
Grace Sypher,Female,10/12/2020,5000,Female_5000,222.4,11,01:56.3,19:23.2
Miles Harrold,Male,18/01/2021,2000,Male_2000,403.4,10,01:35.4,06:21.5
Patrick Holt,Male,18/01/2021,2000,Male_2000,484.1,63,01:29.7,05:59.0
Bradley Graham,Male,19/01/2021,2000,Male_2000,415.1,14,01:34.5,06:17.9
