"AgeGroup","BoatClass","Side","Metric","Rate.Bin","Session_Count","Mean","SD"
"JNR","M1X","Port","Angle07F","20",1,-39.7,1.9
"JNR","M1X","Port","Angle07F","20-24",1,-39.4,2.2
"JNR","M1X","Port","Angle07F","24-28",2,-38.2,2.6
"JNR","M1X","Port","Angle07F","28-32",1,-39.4,2.4
"JNR","M1X","Port","Angle07F","32-36",2,-39.6,2.9
"JNR","M1X","Port","AngleMaxF","20",1,-12.8,3.3
"JNR","M1X","Port","AngleMaxF","20-24",1,-12.1,3.4
"JNR","M1X","Port","AngleMaxF","24-28",2,-12,3.4
"JNR","M1X","Port","AngleMaxF","28-32",1,-14.2,3.6
"JNR","M1X","Port","AngleMaxF","32-36",2,-16.8,3.3
"JNR","M1X","Port","CatchAngle","20",1,-65.2,2.6
"JNR","M1X","Port","CatchAngle","20-24",1,-64.7,2.8
"JNR","M1X","Port","CatchAngle","24-28",2,-62.6,2.3
"JNR","M1X","Port","CatchAngle","28-32",1,-61.6,2.3
"JNR","M1X","Port","CatchAngle","32-36",2,-59.6,3
"JNR","M1X","Port","CatchSlip","20",1,14.7,1.7
"JNR","M1X","Port","CatchSlip","20-24",1,13.9,1.9
"JNR","M1X","Port","CatchSlip","24-28",2,14.7,2.2
"JNR","M1X","Port","CatchSlip","28-32",1,11.9,2.6
"JNR","M1X","Port","CatchSlip","32-36",2,9.9,2.5
"JNR","M1X","Port","DriveStartT","20",1,59.5,1.9
"JNR","M1X","Port","DriveStartT","20-24",1,59,1.9
"JNR","M1X","Port","DriveStartT","24-28",2,58,2.1
"JNR","M1X","Port","DriveStartT","28-32",1,57.1,2.1
"JNR","M1X","Port","DriveStartT","32-36",2,52.7,2.6
"JNR","M1X","Port","DriveTime","20",1,1.2,0
"JNR","M1X","Port","DriveTime","20-24",1,1.2,0
"JNR","M1X","Port","DriveTime","24-28",2,1.2,0.1
"JNR","M1X","Port","DriveTime","28-32",1,1.1,0
"JNR","M1X","Port","DriveTime","32-36",2,0.9,0.1
"JNR","M1X","Port","EffectiveLength","20",1,83,2.9
"JNR","M1X","Port","EffectiveLength","20-24",1,83.1,2.6
"JNR","M1X","Port","EffectiveLength","24-28",2,78.1,2.9
"JNR","M1X","Port","EffectiveLength","28-32",1,80.1,3.7
